Date,Manhattan price per sqft,Brooklyn price per sqft,Bronx price per sqft,Queens price per sqft,Staten Island price per sqft
2006-11,941.36,476.8837209302326,301.57894736842104,406.9491525423729,312.875
2006-12,948.76,477.04651162790697,303.6842105263158,404.77966101694915,313.0625
2007-01,959.0,477.5581395348837,304.89473684210526,403.5593220338983,312.9791666666667
2007-02,969.48,477.90697674418607,305.57894736842104,403.271186440678,313.0625
2007-03,979.32,478.3255813953488,307.1578947368421,403.728813559322,313.0833333333333
2007-04,988.16,478.8837209302326,308.89473684210526,404.8305084745763,313.1458333333333
2007-05,994.48,478.4418604651163,310.5263157894737,405.45762711864404,313.1041666666667
2007-06,1000.16,476.6046511627907,311.63157894736844,405.2881355932203,312.2916666666667
2007-07,1009.68,474.86046511627904,311.6842105263158,404.77966101694915,311.3541666666667
2007-08,1025.16,473.69767441860466,311.1578947368421,404.271186440678,310.2708333333333
2007-09,1045.64,472.83720930232556,310.05263157894734,403.8474576271187,308.9583333333333
2007-10,1067.32,471.74418604651163,309.10526315789474,403.728813559322,307.7291666666667
2007-11,1085.64,471.25581395348837,308.3157894736842,404.0508474576271,306.3125
2007-12,1097.64,472.0232558139535,308.1578947368421,403.91525423728814,304.6458333333333
2008-01,1103.6,473.8139534883721,307.2631578947368,402.9830508474576,302.6666666666667
2008-02,1104.72,476.3720930232558,305.3157894736842,400.9491525423729,300.7708333333333
2008-03,1102.68,479.5348837209302,303.94736842105266,398.1864406779661,299.3541666666667
2008-04,1098.52,482.7674418604651,302.36842105263156,394.7457627118644,298.0208333333333
2008-05,1092.4,484.3720930232558,300.4736842105263,391.03389830508473,296.625
2008-06,1085.08,483.16279069767444,298.42105263157896,387.23728813559325,294.7291666666667
2008-07,1079.68,480.4186046511628,295.8421052631579,384.08474576271186,292.9166666666667
2008-08,1076.0,477.16279069767444,293.05263157894734,381.45762711864404,291.0208333333333
2008-09,1072.16,474.04651162790697,290.89473684210526,379.0508474576271,289.3333333333333
2008-10,1066.56,470.6279069767442,288.6842105263158,376.64406779661016,287.7291666666667
2008-11,1059.16,467.13953488372096,287.05263157894734,374.59322033898303,286.2916666666667
2008-12,1050.64,463.3953488372093,285.2631578947368,372.79661016949154,284.6666666666667
2009-01,1043.52,459.8139534883721,282.42105263157896,370.77966101694915,283.3333333333333
2009-02,1037.44,456.04651162790697,278.94736842105266,368.3220338983051,282.25
2009-03,1032.12,452.3488372093023,276.10526315789474,366.0,281.4166666666667
2009-04,1027.44,449.3255813953488,273.5263157894737,363.79661016949154,280.6875
2009-05,1023.6,445.3720930232558,271.1578947368421,361.7118644067797,279.4791666666667
2009-06,1016.84,440.4418604651163,268.57894736842104,359.4237288135593,277.8333333333333
2009-07,1004.52,436.48837209302326,265.94736842105266,358.0508474576271,276.7083333333333
2009-08,988.28,434.7674418604651,263.8421052631579,357.4237288135593,276.0416666666667
2009-09,972.84,434.72093023255815,262.2631578947368,356.91525423728814,275.7083333333333
2009-10,960.4,435.86046511627904,262.10526315789474,356.8135593220339,275.5833333333333
2009-11,952.04,437.6744186046512,263.10526315789474,357.4406779661017,275.4375
2009-12,947.4,440.69767441860466,264.8421052631579,358.6271186440678,275.3125
2010-01,945.12,443.09302325581393,265.36842105263156,358.89830508474574,275.3333333333333
2010-02,945.8,444.2325581395349,264.7368421052632,358.7457627118644,275.4166666666667
2010-03,946.0,440.04651162790697,264.0,358.6779661016949,275.5416666666667
2010-04,945.56,432.6744186046512,263.3157894736842,357.45762711864404,274.7916666666667
2010-05,948.0,429.3953488372093,263.7368421052632,355.20338983050846,273.3125
2010-06,954.64,433.4418604651163,265.57894736842104,355.1694915254237,272.7708333333333
2010-07,962.72,435.7906976744186,267.94736842105266,356.4406779661017,273.375
2010-08,970.72,433.48837209302326,268.36842105263156,355.3220338983051,274.0625
2010-09,977.44,429.3720930232558,267.42105263157896,351.6101694915254,274.2916666666667
2010-10,982.16,428.3953488372093,266.10526315789474,349.20338983050846,273.5833333333333
2010-11,983.88,429.51162790697674,258.63157894736844,346.6779661016949,272.0416666666667
2010-12,983.52,430.5813953488372,250.3684210526316,344.5762711864407,271.2708333333333
2011-01,982.4,430.3953488372093,250.57894736842104,344.03389830508473,271.1875
2011-02,982.64,433.51162790697674,256.1578947368421,345.33898305084745,269.8333333333333
2011-03,984.92,439.3488372093023,258.10526315789474,345.4237288135593,265.9791666666667
2011-04,986.52,444.5348837209302,257.42105263157896,346.0169491525424,262.4166666666667
